,0,1
10260,UniRef90_V0VC83,g__Escherichia.s__Escherichia_coli
10264,UniRef90_A0A0T5XN99,g__Escherichia.s__Escherichia_coli
10265,UniRef90_A0A0T5XN99,g__Klebsiella.s__Klebsiella_pneumoniae
10270,UniRef90_A0A0T5XK84,g__Klebsiella.s__Klebsiella_pneumoniae
10271,UniRef90_A0A0T5XK84,g__Escherichia.s__Escherichia_coli
10276,UniRef90_A0A370ZFK4,g__Klebsiella.s__Klebsiella_pneumoniae
10278,UniRef90_A0A3E1WVB5,g__Escherichia.s__Escherichia_coli
10280,UniRef90_A0A0H0GBK3,g__Escherichia.s__Escherichia_coli
10284,UniRef90_A0A1V3CLF6,g__Escherichia.s__Escherichia_coli
10286,UniRef90_P33643,g__Escherichia.s__Escherichia_coli
10287,UniRef90_P33643,g__Raoultella.s__Raoultella_ornithinolytica
10288,UniRef90_P33643,g__Klebsiella.s__Klebsiella_variicola
10290,UniRef90_P33643,g__Klebsiella.s__Klebsiella_pneumoniae
10291,UniRef90_P33643,g__Klebsiella.s__Klebsiella_quasipneumoniae
10292,UniRef90_P33643,g__Klebsiella.s__Klebsiella_variicola_CAG_634
10294,UniRef90_A0A0Q3CTL7,g__Escherichia.s__Escherichia_coli
10296,UniRef90_A0A376V423,g__Escherichia.s__Escherichia_coli
10298,UniRef90_D7ZHZ1,g__Escherichia.s__Escherichia_coli
10301,UniRef90_A0A377JZ33,g__Escherichia.s__Escherichia_coli
10306,UniRef90_A0A3A1QF54,g__Escherichia.s__Escherichia_coli
10308,UniRef90_A0A376W8F9,g__Escherichia.s__Escherichia_coli
10316,UniRef90_A0A0T5XIN3,g__Klebsiella.s__Klebsiella_pneumoniae
10317,UniRef90_A0A0T5XIN3,g__Escherichia.s__Escherichia_coli
10319,UniRef90_A0A2B7M0F4,g__Escherichia.s__Escherichia_coli
10323,UniRef90_A0A0T5XLX6,g__Escherichia.s__Escherichia_coli
10324,UniRef90_A0A0T5XLX6,g__Klebsiella.s__Klebsiella_pneumoniae
10327,UniRef90_B7LHB1,g__Escherichia.s__Escherichia_coli
10329,UniRef90_Q8X9B6,g__Escherichia.s__Escherichia_coli
10330,UniRef90_Q8X9B6,g__Klebsiella.s__Klebsiella_variicola_CAG_634
10331,UniRef90_Q8X9B6,g__Klebsiella.s__Klebsiella_quasipneumoniae
10332,UniRef90_Q8X9B6,g__Klebsiella.s__Klebsiella_variicola
10333,UniRef90_Q8X9B6,g__Klebsiella.s__Klebsiella_pneumoniae
10334,UniRef90_Q8X9B6,g__Raoultella.s__Raoultella_ornithinolytica
10336,UniRef90_A0A0T5XMH0,g__Escherichia.s__Escherichia_coli
10337,UniRef90_A0A0T5XMH0,g__Klebsiella.s__Klebsiella_pneumoniae
10339,UniRef90_A0A0A1ACC4,g__Escherichia.s__Escherichia_coli
10344,UniRef90_A0A377JZV9,g__Klebsiella.s__Klebsiella_pneumoniae
10345,UniRef90_A0A377JZV9,g__Escherichia.s__Escherichia_coli
10348,UniRef90_A0A2S5ZI22,g__Escherichia.s__Escherichia_coli
10350,UniRef90_A0A0M7GEP2,g__Klebsiella.s__Klebsiella_pneumoniae
10353,UniRef90_UPI000DAC9312,g__Escherichia.s__Escherichia_coli
10355,UniRef90_A0A2H4TS65,g__Escherichia.s__Escherichia_coli
10357,UniRef90_A0A0D7LSK6,g__Klebsiella.s__Klebsiella_pneumoniae
10358,UniRef90_A0A0D7LSK6,g__Escherichia.s__Escherichia_coli
10360,UniRef90_Q1R8G5,g__Escherichia.s__Escherichia_coli
10362,UniRef90_P67664,g__Klebsiella.s__Klebsiella_pneumoniae
10363,UniRef90_P67664,g__Escherichia.s__Escherichia_coli
10365,UniRef90_A0A2C5UZD7,g__Raoultella.s__Raoultella_ornithinolytica
10368,UniRef90_A0A1V3W6B5,g__Escherichia.s__Escherichia_coli
10373,UniRef90_F4T481,g__Escherichia.s__Escherichia_coli
10375,UniRef90_A0A0H2V5F6,g__Escherichia.s__Escherichia_coli
10377,UniRef90_A0A0T5XML6,g__Klebsiella.s__Klebsiella_pneumoniae
10379,UniRef90_A0A0T5XML6,g__Escherichia.s__Escherichia_coli
10381,UniRef90_V0ABF5,g__Escherichia.s__Escherichia_coli
10383,UniRef90_A0A090NFS9,g__Escherichia.s__Escherichia_coli
10385,UniRef90_A0A166YVV6,g__Escherichia.s__Escherichia_coli
10386,UniRef90_A0A166YVV6,g__Klebsiella.s__Klebsiella_pneumoniae
10387,UniRef90_A0A166YVV6,g__Klebsiella.s__Klebsiella_variicola
10389,UniRef90_A0A0T5XJH0,g__Escherichia.s__Escherichia_coli
10393,UniRef90_L0R2Q1,g__Klebsiella.s__Klebsiella_variicola
10394,UniRef90_L0R2Q1,g__Raoultella.s__Raoultella_ornithinolytica
10395,UniRef90_L0R2Q1,g__Escherichia.s__Escherichia_coli
10396,UniRef90_L0R2Q1,g__Klebsiella.s__Klebsiella_quasipneumoniae
10397,UniRef90_L0R2Q1,g__Klebsiella.s__Klebsiella_pneumoniae
10399,UniRef90_A0A0A0F551,g__Escherichia.s__Escherichia_coli
10402,UniRef90_A0A0T5XJR7,g__Klebsiella.s__Klebsiella_pneumoniae
10403,UniRef90_A0A0T5XJR7,g__Escherichia.s__Escherichia_coli
10405,UniRef90_A7ZUE3,g__Klebsiella.s__Klebsiella_pneumoniae
10406,UniRef90_A7ZUE3,g__Escherichia.s__Escherichia_coli
10408,UniRef90_A0A399UWF9,g__Escherichia.s__Escherichia_coli
10409,UniRef90_A0A399UWF9,g__Klebsiella.s__Klebsiella_variicola
10411,UniRef90_A0A0T5XLM4,g__Escherichia.s__Escherichia_coli
10413,UniRef90_A0A0T5XLM4,g__Raoultella.s__Raoultella_ornithinolytica
10414,UniRef90_A0A0T5XLM4,g__Klebsiella.s__Klebsiella_variicola
10415,UniRef90_A0A0T5XLM4,g__Klebsiella.s__Klebsiella_pneumoniae
10416,UniRef90_A0A0T5XLM4,g__Klebsiella.s__Klebsiella_quasipneumoniae
10418,UniRef90_A0A0E0VBP9,g__Escherichia.s__Escherichia_coli
10420,UniRef90_A0A0T5XEH4,g__Escherichia.s__Escherichia_coli
10421,UniRef90_A0A0T5XEH4,g__Klebsiella.s__Klebsiella_pneumoniae
10425,UniRef90_P24207,g__Klebsiella.s__Klebsiella_pneumoniae
10426,UniRef90_P24207,g__Escherichia.s__Escherichia_coli
10428,UniRef90_A0A376MFE3,g__Escherichia.s__Escherichia_coli
10437,UniRef90_A0A3A0H278,g__Escherichia.s__Escherichia_coli
10438,UniRef90_A0A3A0H278,g__Klebsiella.s__Klebsiella_pneumoniae
10439,UniRef90_A0A3A0H278,g__Klebsiella.s__Klebsiella_variicola
10441,UniRef90_A0A2H9B8H9,g__Escherichia.s__Escherichia_coli
10443,UniRef90_A0A166YWD7,g__Escherichia.s__Escherichia_coli
10444,UniRef90_A0A166YWD7,g__Klebsiella.s__Klebsiella_pneumoniae
10446,UniRef90_G8LFH9,g__Klebsiella.s__Klebsiella_pneumoniae
10449,UniRef90_D8A8A4,g__Escherichia.s__Escherichia_coli
10453,UniRef90_B7LDQ3,g__Escherichia.s__Escherichia_coli
10456,UniRef90_A0A1D7PGH4,g__Escherichia.s__Escherichia_coli
10458,UniRef90_A0A370YRD2,g__Escherichia.s__Escherichia_coli
10459,UniRef90_A0A370YRD2,g__Raoultella.s__Raoultella_ornithinolytica
10460,UniRef90_A0A370YRD2,g__Klebsiella.s__Klebsiella_pneumoniae
10464,UniRef90_A0A376LFC8,g__Escherichia.s__Escherichia_coli
10467,UniRef90_A0A0F3U5B2,g__Escherichia.s__Escherichia_coli
10469,UniRef90_D8A1R1,g__Escherichia.s__Escherichia_coli
10471,UniRef90_G8LD33,g__Escherichia.s__Escherichia_coli
10474,UniRef90_A0A0T5XHG7,g__Klebsiella.s__Klebsiella_quasipneumoniae
10475,UniRef90_A0A0T5XHG7,g__Escherichia.s__Escherichia_coli
10479,UniRef90_B5F008,g__Raoultella.s__Raoultella_ornithinolytica
10480,UniRef90_B5F008,g__Escherichia.s__Escherichia_coli
10481,UniRef90_B5F008,g__Klebsiella.s__Klebsiella_pneumoniae
10487,UniRef90_A0A2X1NBV0,g__Escherichia.s__Escherichia_coli
10489,UniRef90_B1LJ70,g__Escherichia.s__Escherichia_coli
10491,UniRef90_H4KGF2,g__Escherichia.s__Escherichia_coli
10493,UniRef90_A0A192C8V4,g__Escherichia.s__Escherichia_coli
10495,UniRef90_A4WDE0,g__Klebsiella.s__Klebsiella_variicola
10496,UniRef90_A4WDE0,g__Klebsiella.s__Klebsiella_quasipneumoniae
10497,UniRef90_A4WDE0,g__Raoultella.s__Raoultella_ornithinolytica
10498,UniRef90_A4WDE0,g__Escherichia.s__Escherichia_coli
10499,UniRef90_A4WDE0,g__Klebsiella.s__Klebsiella_variicola_CAG_634
10501,UniRef90_A4WDE0,g__Klebsiella.s__Klebsiella_pneumoniae
10505,UniRef90_A0A0S3FLL0,g__Klebsiella.s__Klebsiella_pneumoniae
10506,UniRef90_A0A0S3FLL0,g__Klebsiella.s__Klebsiella_quasipneumoniae
10507,UniRef90_A0A0S3FLL0,g__Klebsiella.s__Klebsiella_variicola
10509,UniRef90_A0A376VHK8,g__Escherichia.s__Escherichia_coli
10512,UniRef90_V0XJ36,g__Escherichia.s__Escherichia_coli
10514,UniRef90_A0A377B6Y5,g__Klebsiella.s__Klebsiella_variicola
10515,UniRef90_A0A377B6Y5,g__Escherichia.s__Escherichia_coli
10516,UniRef90_A0A377B6Y5,g__Klebsiella.s__Klebsiella_pneumoniae
10517,UniRef90_A0A377B6Y5,g__Raoultella.s__Raoultella_ornithinolytica
10519,UniRef90_A0A210P2B1,g__Escherichia.s__Escherichia_coli
10521,UniRef90_J2X715,g__Klebsiella.s__Klebsiella_pneumoniae
10524,UniRef90_G8LJ55,g__Klebsiella.s__Klebsiella_pneumoniae
10526,UniRef90_B5EZK0,g__Klebsiella.s__Klebsiella_pneumoniae
10527,UniRef90_B5EZK0,g__Escherichia.s__Escherichia_coli
10530,UniRef90_A0A156I7M3,g__Klebsiella.s__Klebsiella_pneumoniae
10532,UniRef90_A0A370ZCQ3,g__Klebsiella.s__Klebsiella_pneumoniae
10536,UniRef90_A0A0T5XQT9,g__Klebsiella.s__Klebsiella_pneumoniae
10537,UniRef90_A0A0T5XQT9,g__Escherichia.s__Escherichia_coli
10543,UniRef90_A0A0T5XMC4,g__Klebsiella.s__Klebsiella_pneumoniae
10544,UniRef90_A0A0T5XMC4,g__Escherichia.s__Escherichia_coli
10547,UniRef90_UPI0008FB300E,g__Escherichia.s__Escherichia_coli
10550,UniRef90_Q32HU0,g__Klebsiella.s__Klebsiella_pneumoniae
10551,UniRef90_Q32HU0,g__Escherichia.s__Escherichia_coli
10553,UniRef90_Q46835,g__Escherichia.s__Escherichia_coli
10555,UniRef90_A0A0F1BEU5,g__Klebsiella.s__Klebsiella_pneumoniae
10557,UniRef90_A0A0F1BEU5,g__Raoultella.s__Raoultella_ornithinolytica
10559,UniRef90_P0AE10,g__Escherichia.s__Escherichia_coli
10560,UniRef90_P0AE10,g__Klebsiella.s__Klebsiella_quasipneumoniae
10561,UniRef90_P0AE10,g__Raoultella.s__Raoultella_ornithinolytica
10562,UniRef90_P0AE10,g__Klebsiella.s__Klebsiella_variicola
10563,UniRef90_P0AE10,g__Klebsiella.s__Klebsiella_variicola_CAG_634
10564,UniRef90_P0AE10,g__Klebsiella.s__Klebsiella_pneumoniae
10566,UniRef90_Q8ZQU3,g__Raoultella.s__Raoultella_ornithinolytica
10567,UniRef90_Q8ZQU3,g__Klebsiella.s__Klebsiella_quasipneumoniae
10568,UniRef90_Q8ZQU3,g__Escherichia.s__Escherichia_coli
10569,UniRef90_Q8ZQU3,g__Klebsiella.s__Klebsiella_variicola
10570,UniRef90_Q8ZQU3,g__Klebsiella.s__Klebsiella_variicola_CAG_634
10571,UniRef90_Q8ZQU3,g__Klebsiella.s__Klebsiella_pneumoniae
10574,UniRef90_J2X747,g__Klebsiella.s__Klebsiella_pneumoniae
10576,UniRef90_A0A0M7IRP2,g__Klebsiella.s__Klebsiella_pneumoniae
10579,UniRef90_A0A078K1R9,g__Klebsiella.s__Klebsiella_pneumoniae
10581,UniRef90_A0A2I6F2Q1,g__Escherichia.s__Escherichia_coli
10583,UniRef90_A0A0T5XLK8,g__Escherichia.s__Escherichia_coli
10584,UniRef90_A0A0T5XLK8,g__Klebsiella.s__Klebsiella_pneumoniae
10587,UniRef90_A0A0T5XH84,g__Klebsiella.s__Klebsiella_pneumoniae
10588,UniRef90_A0A0T5XH84,g__Escherichia.s__Escherichia_coli
10592,UniRef90_A0A135PQ04,g__Escherichia.s__Escherichia_coli
10596,UniRef90_A0A0T5XFQ4,g__Klebsiella.s__Klebsiella_pneumoniae
10597,UniRef90_A0A0T5XFQ4,g__Escherichia.s__Escherichia_coli
10600,UniRef90_A0A0I2AN01,g__Escherichia.s__Escherichia_coli
10602,UniRef90_V0UG45,g__Escherichia.s__Escherichia_coli
10608,UniRef90_A0A376MEF1,g__Escherichia.s__Escherichia_coli
10613,UniRef90_A0A2R4PD56,g__Klebsiella.s__Klebsiella_pneumoniae
10614,UniRef90_A0A2R4PD56,g__Escherichia.s__Escherichia_coli
10616,UniRef90_UPI000944745E,g__Klebsiella.s__Klebsiella_variicola
10617,UniRef90_UPI000944745E,g__Escherichia.s__Escherichia_coli
10620,UniRef90_Q8Z9I0,g__Escherichia.s__Escherichia_coli
10621,UniRef90_Q8Z9I0,g__Raoultella.s__Raoultella_ornithinolytica
10622,UniRef90_Q8Z9I0,g__Klebsiella.s__Klebsiella_quasipneumoniae
10624,UniRef90_Q8Z9I0,g__Klebsiella.s__Klebsiella_variicola
10625,UniRef90_Q8Z9I0,g__Klebsiella.s__Klebsiella_variicola_CAG_634
10626,UniRef90_Q8Z9I0,g__Klebsiella.s__Klebsiella_pneumoniae
10628,UniRef90_P0A2F7,g__Escherichia.s__Escherichia_coli
10629,UniRef90_P0A2F7,g__Raoultella.s__Raoultella_ornithinolytica
10630,UniRef90_P0A2F7,g__Klebsiella.s__Klebsiella_variicola_CAG_634
10631,UniRef90_P0A2F7,g__Klebsiella.s__Klebsiella_variicola
10632,UniRef90_P0A2F7,g__Klebsiella.s__Klebsiella_pneumoniae
10634,UniRef90_I6DUN5,g__Escherichia.s__Escherichia_coli
10638,UniRef90_V0AXQ8,g__Klebsiella.s__Klebsiella_pneumoniae
10640,UniRef90_A0A377D1X9,g__Klebsiella.s__Klebsiella_pneumoniae
10642,UniRef90_A0A370YE45,g__Klebsiella.s__Klebsiella_pneumoniae
10643,UniRef90_A0A370YE45,g__Raoultella.s__Raoultella_ornithinolytica
10644,UniRef90_A0A370YE45,g__Escherichia.s__Escherichia_coli
10647,UniRef90_A0A0T5XN34,g__Escherichia.s__Escherichia_coli
10648,UniRef90_A0A0T5XN34,g__Klebsiella.s__Klebsiella_quasipneumoniae
10649,UniRef90_A0A0T5XN34,g__Klebsiella.s__Klebsiella_variicola
10650,UniRef90_A0A0T5XN34,g__Klebsiella.s__Klebsiella_pneumoniae
10652,UniRef90_A0A029IJ34,g__Escherichia.s__Escherichia_coli
10656,UniRef90_A0A1Y2XP48,g__Escherichia.s__Escherichia_coli
10658,UniRef90_A0A222C3E6,g__Escherichia.s__Escherichia_coli
10660,UniRef90_A0A1V2FCR2,g__Escherichia.s__Escherichia_coli
10662,UniRef90_A0A0H2VDY5,g__Escherichia.s__Escherichia_coli
10664,UniRef90_A0A376VXD2,g__Escherichia.s__Escherichia_coli
10667,UniRef90_A0A086TZN6,g__Escherichia.s__Escherichia_coli
10669,UniRef90_A0A370ZE31,g__Klebsiella.s__Klebsiella_pneumoniae
10677,UniRef90_A0A0T5XK49,g__Escherichia.s__Escherichia_coli
10678,UniRef90_A0A0T5XK49,g__Raoultella.s__Raoultella_ornithinolytica
10679,UniRef90_A0A0T5XK49,g__Klebsiella.s__Klebsiella_pneumoniae
10683,UniRef90_A0A074P458,g__Escherichia.s__Escherichia_coli
10684,UniRef90_A0A074P458,g__Klebsiella.s__Klebsiella_quasipneumoniae
10685,UniRef90_A0A074P458,g__Raoultella.s__Raoultella_ornithinolytica
10690,UniRef90_V3P0M6,g__Klebsiella.s__Klebsiella_pneumoniae
10692,UniRef90_F5RR60,g__Klebsiella.s__Klebsiella_pneumoniae
10695,UniRef90_A0A377WCY9,g__Klebsiella.s__Klebsiella_pneumoniae
10697,UniRef90_A0A370Z9T7,g__Klebsiella.s__Klebsiella_pneumoniae
10700,UniRef90_H4LG01,g__Escherichia.s__Escherichia_coli
10704,UniRef90_Q47447,g__Escherichia.s__Escherichia_coli
10706,UniRef90_Q3YUZ8,g__Escherichia.s__Escherichia_coli
10708,UniRef90_A0A376KLI3,g__Escherichia.s__Escherichia_coli
10711,UniRef90_A0A0T5XN77,g__Klebsiella.s__Klebsiella_pneumoniae
10712,UniRef90_A0A0T5XN77,g__Escherichia.s__Escherichia_coli
10715,UniRef90_B7ULG5,g__Klebsiella.s__Klebsiella_pneumoniae
10716,UniRef90_B7ULG5,g__Escherichia.s__Escherichia_coli
10721,UniRef90_A0A073HED5,g__Escherichia.s__Escherichia_coli
10728,UniRef90_UPI0009B934F9,g__Klebsiella.s__Klebsiella_pneumoniae
10733,UniRef90_A0A0D8W561,g__Escherichia.s__Escherichia_coli
10739,UniRef90_A0A0B0YZU4,g__Klebsiella.s__Klebsiella_pneumoniae
10741,UniRef90_A0A0B0YZU4,g__Escherichia.s__Escherichia_coli
10745,UniRef90_A0A327I3A4,g__Escherichia.s__Escherichia_coli
